CustomerKey;GeographyKey;CustomerAlternateKey;Title;FirstName;MiddleName;LastName;NameStyle;BirthDate;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;SpanishEducation;FrenchEducation;EnglishOccupation;SpanishOccupation;FrenchOccupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CommuteDistance
11000;26;AW00011000;NULL;Jon;V;Yang;0;08-04-1966;M;NULL;M;jon24@adventure-works.com;90000;2;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;0;3761 N. 14th St;NULL;1 (11) 500 555-0162;22-07-2005;1-2 Miles
11001;37;AW00011001;NULL;Eugene;L;Huang;0;14-05-1965;S;NULL;M;eugene10@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;2243 W St.;NULL;1 (11) 500 555-0110;18-07-2005;0-1 Miles
11002;31;AW00011002;NULL;Ruben;NULL;Torres;0;12-08-1965;M;NULL;M;ruben35@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;5844 Linden Land;NULL;1 (11) 500 555-0184;10-07-2005;2-5 Miles
11003;11;AW00011003;NULL;Christy;NULL;Zhu;0;15-02-1968;S;NULL;F;christy12@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;1825 Village Pl.;NULL;1 (11) 500 555-0162;01-07-2005;5-10 Miles
11004;19;AW00011004;NULL;Elizabeth;NULL;Johnson;0;08-08-1968;S;NULL;F;elizabeth5@adventure-works.com;80000;5;5;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;4;7553 Harness Circle;NULL;1 (11) 500 555-0131;26-07-2005;1-2 Miles
11005;22;AW00011005;NULL;Julio;NULL;Ruiz;0;05-08-1965;S;NULL;M;julio1@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;7305 Humphrey Drive;NULL;1 (11) 500 555-0151;02-07-2005;5-10 Miles
11006;8;AW00011006;NULL;Janet;G;Alvarez;0;06-12-1965;S;NULL;F;janet9@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;2612 Berry Dr;NULL;1 (11) 500 555-0184;27-07-2005;5-10 Miles
11007;40;AW00011007;NULL;Marco;NULL;Mehta;0;09-05-1964;M;NULL;M;marco14@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;2;942 Brook Street;NULL;1 (11) 500 555-0126;12-07-2005;0-1 Miles
11008;32;AW00011008;NULL;Rob;NULL;Verhoff;0;07-07-1964;S;NULL;F;rob4@adventure-works.com;60000;4;4;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;3;624 Peabody Road;NULL;1 (11) 500 555-0164;28-07-2005;10+ Miles
11009;25;AW00011009;NULL;Shannon;C;Carlson;0;01-04-1964;S;NULL;M;shannon38@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;3839 Northgate Road;NULL;1 (11) 500 555-0110;30-07-2005;5-10 Miles
